label,species,has_bill_shape,has_wing_color,has_upperparts_color,has_underparts_color,has_breast_pattern,has_back_color,has_tail_shape,has_upper_tail_color,has_head_pattern,has_breast_color,has_throat_color,has_eye_color,has_bill_length,has_forehead_color,has_under_tail_color,has_nape_color,has_belly_color,has_wing_shape,has_size,has_shape,has_back_pattern,has_tail_pattern,has_belly_pattern,has_primary_color,has_leg_color,has_bill_color,has_crown_color,has_wing_pattern
113,Baird_Sparrow,pointed,brown,brown,buff,solid,brown,rounded_tail,brown,eyebrow,brown,brown,brown,about_the_same_as_head,brown,buff,brown,buff,rounded-wings,small_(5_-_9_in),perching-like,solid,solid,solid,brown,brown,brown,brown,solid
114,Black_throated_Sparrow,curved_down,black,gray,white,solid,gray,rounded_tail,gray,plain,black,black,brown,about_the_same_as_head,black,white,black,white,pointed-wings,small_(5_-_9_in),upright-perching_water-like,solid,solid,solid,black,black,black,black,solid
115,Brewer_Sparrow,cone,brown,brown,white,solid,brown,rounded_tail,brown,plain,brown,white,brown,about_the_same_as_head,brown,brown,brown,white,pointed-wings,small_(5_-_9_in),perching-like,solid,solid,solid,brown,brown,brown,brown,solid
116,Chipping_Sparrow,all-purpose,olive,brown,buff,spotted,brown,forked_tail,brown,capped,buff,buff,black,about_the_same_as_head,brown,buff,brown,buff,rounded-wings,small_(5_-_9_in),perching-like,spotted,spotted,spotted,brown,brown,brown,brown,spotted
117,Clay_colored_Sparrow,all-purpose,brown,brown,buff,spotted,brown,rounded_tail,brown,plain,buff,buff,brown,about_the_same_as_head,buff,brown,brown,buff,rounded-wings,small_(5_-_9_in),perching-like,solid,solid,solid,brown,brown,brown,buff,solid
118,House_Sparrow,conical,brown,brown,grey,solid,brown,rounded_tail,brown,plain,brown,grey,brown,about_the_same_as_head,brown,grey,brown,grey,rounded-wings,small_(5_-_9_in),perching-like,solid,solid,solid,brown,brown,brown,brown,solid
119,Field_Sparrow,cone,brown,brown,buff,solid,brown,rounded_tail,brown,plain,buff,buff,brown,about_the_same_as_head,brown,buff,brown,buff,rounded-wings,small_(5_-_9_in),perching-like,solid,solid,solid,brown,brown,brown,brown,solid
120,Fox_Sparrow,all-purpose,brown,brown,buff,multi-colored,brown,rounded_tail,brown,plain,buff,buff,brown,about_the_same_as_head,brown,buff,brown,buff,rounded-wings,medium_(9_-_16_in),perching-like,solid,solid,solid,brown,brown,brown,brown,solid
121,Grasshopper_Sparrow,all-purpose,brown,brown,buff,multi-colored,brown,rounded_tail,brown,plain,buff,buff,brown,about_the_same_as_head,brown,buff,brown,buff,rounded-wings,small_(5_-_9_in),perching-like,solid,solid,solid,brown,brown,brown,brown,solid
122,Harris_Sparrow,all-purpose,grey,brown,white,striped,brown,rounded_tail,brown,plain,brown,white,black,about_the_same_as_head,brown,white,brown,white,rounded-wings,medium_(9_-_16_in),perching-like,solid,solid,solid,brown,brown,all-purpose,brown,solid
123,Henslow_Sparrow,needle,brown,brown,buff,solid,brown,rounded_tail,brown,eyebrow,buff,buff,brown,about_the_same_as_head,brown,brown,brown,buff,rounded-wings,small_(5_-_9_in),perching-like,solid,solid,solid,brown,brown,brown,brown,solid
124,Le_Conte_Sparrow,needle,brown,rufous,buff,solid,rufous,rounded_tail,rufous,spotted,rufous,buff,brown,shorter_than_head,rufous,buff,rufous,buff,rounded-wings,small_(5_-_9_in),upright-perching_water-like,solid,solid,solid,rufous,buff,buff,rufous,solid
125,Lincoln_Sparrow,curved_up_or_down,brown,brown,white,multi-colored,brown,rounded_tail,brown,spotted,brown,white,brown,about_the_same_as_head,brown,white,brown,white,rounded-wings,small_(5_-_9_in),perching-like,spotted,spotted,spotted,brown,brown,brown,brown,spotted
126,Nelson_Sharp_tailed_Sparrow,pointed,brown,brown,white,striped,brown,rounded_tail,brown,eyebrow,brown,brown,brown,about_the_same_as_head,brown,brown,brown,white,pointed-wings,small_(5_-_9_in),perching-like,striped,striped,striped,brown,brown,brown,brown,solid
127,Savannah_Sparrow,all-purpose,brown,brown,buff,spotted,brown,rounded_tail,brown,eyebrow,buff,buff,black,about_the_same_as_head,brown,buff,brown,buff,rounded-wings,small_(5_-_9_in),perching-like,striped,striped,striped,brown,brown,brown,brown,multi-colored
128,Seaside_Sparrow,curved_down,brown,brown,buff,solid,brown,rounded_tail,brown,eyebrow,buff,buff,brown,about_the_same_as_head,brown,buff,brown,buff,rounded-wings,small_(5_-_9_in),upright-perching_water-like,solid,solid,solid,brown,brown,brown,brown,solid
129,Song_Sparrow,curved_down,brown,brown,white,multi-colored,brown,rounded_tail,brown,eyebrow,brown,white,brown,about_the_same_as_head,brown,brown,brown,white,rounded-wings,small_(5_-_9_in),perching-like,striped,stripped,solid,brown,brown,brown,brown,multi-colored
130,Tree_Sparrow,cone,brown,brown,buff,striped,brown,notched_tail,brown,eyebrow,buff,buff,dark,about_the_same_as_head,brown,white,brown,buff,rounded-wings,small_(5_-_9_in),perching-like,solid,solid,solid,brown,pink,pink,brown,solid
131,Vesper_Sparrow,all-purpose,brown,brown,buff,striped,brown,forked_tail,brown,eyebrow,buff,buff,brown,about_the_same_as_head,brown,buff,brown,buff,rounded-wings,medium_(9_-_16_in),perching-like,striped,solid,solid,brown,brown,brown,brown,solid
132,White_crowned_Sparrow,cone,brown,brown,white,multi-colored,brown,rounded_tail,brown,striped,white,white,black,about_the_same_as_head,white,white,brown,white,rounded-wings,small_(5_-_9_in),chicken-like-marsh,striped,striped,multi-colored,brown,brown,pink,white,multi-colored
133,White_throated_Sparrow,all-purpose,white,brown,white,striped,brown,rounded_tail,brown,eyebrow,white,white,brown,about_the_same_as_head,brown,white,brown,white,rounded-wings,small_(5_-_9_in),perching-like,striped,solid,striped,brown,brown,brown,brown,solid
134,Cape_Glossy_Starling,curved_up_or_down,blue,iridescent,black,solid,iridescent,forked_tail,iridescent,unique_pattern,black,black,black,shorter_than_head,black,black,black,black,rounded-wings,medium_(9_-_16_in),perching-like,solid,solid,solid,blue,black,black,black,solid
135,Bank_Swallow,curved_(up_or_down),brown,brown,white,striped,brown,forked_tail,brown,eyebrow,white,white,black,shorter_than_head,brown,white,brown,white,pointed-wings,small_(5_-_9_in),swallow-like,solid,solid,solid,brown,brown,brown,brown,solid
136,Barn_Swallow,curved_up_or_down,blue,blue,buff,solid,blue,forked_tail,blue,spotted,buff,buff,brown,about_the_same_as_head,blue,buff,blue,buff,pointed-wings,small_(5_-_9_in),swallow-like,solid,solid,solid,blue,buff,black,blue,solid
137,Cliff_Swallow,all-purpose,brown,brown,buff,solid,brown,forked_tail,brown,eyebrow,buff,buff,brown,about_the_same_as_head,brown,buff,brown,buff,pointed-wings,small_(5_-_9_in),swallow-like,solid,solid,solid,brown,brown,brown,brown,solid
138,Tree_Swallow,all-purpose,blue,green,white,solid,blue,forked_tail,white,plain,white,white,black,about_the_same_as_head,blue,white,blue,white,pointed-wings,small_(5_-_9_in),swallow-like,solid,solid,solid,blue,brown,black,blue,solid
139,Scarlet_Tanager,dagger,black,black,red,solid,black,rounded_tail,black,plain,red,red,brown,about_the_same_as_head,black,white,black,red,rounded-wings,small_(5_-_9_in),upright-perching_water-like,solid,solid,solid,red,pink,black,black,solid
140,Summer_Tanager,cone,brown,red,red,solid,red,forked_tail,red,plain,red,red,brown,about_the_same_as_head,red,red,red,red,rounded-wings,small_(5_-_9_in),upright-perching_water-like,solid,solid,solid,red,brown,red,red,solid
141,Artic_Tern,all-purpose,white,white,white,solid,white,forked_tail,white,perching-like,white,white,brown,about_the_same_as_head,white,white,white,white,long-wings,small_(5_-_9_in),gull-like,solid,solid,solid,white,orange,orange,black,solid
142,Black_Tern,dagger,black,black,white,multi-colored,black,forked_tail,black,eyebrow,black,white,black,about_the_same_as_head,black,black,black,white,pointed-wings,small_(5_-_9_in),chicken-like-marsh,solid,solid,striped,black,red,black,black,solid
143,Caspian_Tern,all-purpose,white,pale_grey,white,solid,pale_grey,notched_tail,white,eyeliner,pale_grey,white,dark,about_the_same_as_head,white,white,pale_grey,white,long-wings,large_(16_-_32_in),gull-like,solid,solid,solid,white,pale_grey,red,pale_grey,solid
144,Common_Tern,all-purpose,black,grey,white,solid,grey,forked_tail,white,capped,white,white,black,longer_than_head,black,white,grey,white,pointed-wings,medium_(9_-_16_in),gull-like,solid,solid,solid,grey,black,orange,black,solid
145,Elegant_Tern,curved_up,grey,grey,white,solid,grey,forked_tail,grey,crested,white,white,black,shorter_than_head,grey,grey,grey,white,long-wings,medium_(9_-_16_in),gull-like,solid,solid,solid,grey,grey,grey,grey,solid
146,Forsters_Tern,curved_up,grey,grey,white,solid,grey,forked_tail,grey,spotting,white,white,black,about_the_same_as_head,grey,white,grey,white,pointed-wings,medium_(9_-_16_in),gull-like,solid,multi-colored,solid,grey,grey,black,grey,solid
147,Least_Tern,sharp,grey,grey,white,solid,grey,forked_tail,grey,eyebrow,white,white,black,shorter_than_head,black,white,grey,white,pointed-wings,small_(5_-_9_in),upright-perching_water-like,solid,solid,solid,grey,yellow,black,grey,solid
148,Green_tailed_Towhee,curved_(up_or_down),olive,olive,yellow,striped,olive,fan-shaped_tail,olive,eyed,olive,yellow,red,about_the_same_as_head,olive,olive,olive,yellow,rounded-wings,small_(5_-_9_in),perching-like,solid,solid,solid,olive,olive,olive,olive,solid
149,Brown_Thrasher,curved_down,brown,brown,white,solid,brown,rounded_tail,brown,eyebrow,brown,white,brown,about_the_same_as_head,brown,white,brown,white,rounded-wings,medium_(9_-_16_in),perching-like,solid,solid,solid,brown,brown,brown,brown,solid
150,Sage_Thrasher,curved_down,brown,brown,buff,spotted,brown,rounded_tail,brown,spotted,brown,white,black,about_the_same_as_head,brown,buff,brown,buff,rounded-wings,medium_(9_-_16_in),upright-perching_water-like,solid,solid,solid,brown,brown,brown,brown,solid
151,Black_capped_Vireo,hooked_seabird,black,black,white,solid,black,rounded_tail,black,crested,white,white,black,about_the_same_as_head,black,black,black,white,rounded-wings,small_(5_-_9_in),perching-like,solid,solid,solid,black,black,black,black,solid
152,Blue_headed_Vireo,curved_up_or_down,blue,green,yellow,solid,green,forked_tail,green,plain,yellow,yellow,brown,about_the_same_as_head,blue,yellow,blue,yellow,rounded-wings,small_(5_-_9_in),perching-like,solid,solid,solid,blue,blue,blue,blue,solid
153,Philadelphia_Vireo,curved_up,brown,green,yellow,multi-colored,green,notched_tail,green,plain,yellow,yellow,brown,about_the_same_as_head,green,yellow,green,yellow,pointed-wings,small_(5_-_9_in),upright-perching_water-like,solid,solid,solid,green,blue,blue,green,solid
154,Red_eyed_Vireo,all-purpose,olive,green,white,spotted,green,notched_tail,green,plain,white,white,red,about_the_same_as_head,green,white,green,white,rounded-wings,small_(5_-_9_in),perching-like,solid,solid,solid,green,grey,grey,green,solid
155,Warbling_Vireo,hooked_seabird,green,olive,white,solid,olive,forked_tail,olive,plain,white,white,brown,about_the_same_as_head,yellow,white,olive,white,rounded-wings,small_(5_-_9_in),perching-like,solid,solid,solid,green,olive,olive,yellow,solid
156,White_eyed_Vireo,hooked_seabird,olive,olive,white,multi-colored,olive,rounded_tail,olive,eyeing,yellow,yellow,white,about_the_same_as_head,olive,white,olive,yellow,pointed-wings,small_(5_-_9_in),upright-perching_water-like,multi-colored,multi-colored,multi-colored,olive,olive,olive,olive,multi-colored
157,Yellow_throated_Vireo,hooked,yellow,brown,white,striped,brown,rounded_tail,white,capped,white,yellow,brown,about_the_same_as_head,brown,white,brown,white,pointed-wings,small_(5_-_9_in),perching-like,striped,solid,solid,brown,brown,brown,brown,solid
158,Bay_breasted_Warbler,all-purpose,brown,brown,white,spotted,brown,forked_tail,brown,capped,pink,pink,brown,about_the_same_as_head,pink,white,brown,white,pointed-wings,small_(5_-_9_in),perching-like,multi-colored,multi-colored,multi-colored,brown,pink,pink,brown,multi-colored
159,Black_and_white_Warbler,all-purpose,black,black,white,striped,black,rounded_tail,black,striped,black,white,brown,about_the_same_as_head,black,white,black,white,pointed-wings,small_(5_-_9_in),upright-perching_water-like,striped,striped,striped,black,black,black,black,striped
160,Black_throated_Blue_Warbler,curved_up_or_down,blue,blue,white,solid,blue,rounded_tail,blue,spotted,blue,black,black,about_the_same_as_head,blue,white,blue,white,rounded-wings,small_(5_-_9_in),perching-like,solid,solid,solid,blue,blue,blue,blue,solid
161,Blue_winged_Warbler,curved_up_or_down,blue,blue,yellow,solid,blue,forked_tail,blue,eyebrow,blue,blue,brown,about_the_same_as_head,blue,yellow,blue,yellow,rounded-wings,small_(5_-_9_in),upright-perching_water-like,solid,solid,solid,blue,brown,blue,blue,solid
162,Canada_Warbler,curved_up_or_down,brown,olive,yellow,multi-colored,olive,rounded_tail,olive,crested,yellow,yellow,black,about_the_same_as_head,olive,yellow,olive,yellow,pointed-wings,small_(5_-_9_in),perching-like,solid,solid,solid,yellow,olive,black,olive,solid
163,Cape_May_Warbler,curved_up_or_down,yellow,yellow,bright_yellow,multi-colored,black,rounded_tail,black,eyebrow,bright_yellow,yellow,dark,about_the_same_as_head,yellow,black,black,bright_yellow,pointed-wings,small_(5_-_9_in),perching-like,multi-colored,multi-colored,multi-colored,yellow,dark,dark,black,multi-colored
164,Cerulean_Warbler,curved_up,blue,blue,white,spotted,blue,forked_tail,blue,eyebrow,blue,blue,blue,about_the_same_as_head,blue,white,blue,white,rounded-wings,small_(5_-_9_in),upright-perching_water-like,solid,solid,spotted,blue,blue,blue,blue,solid
165,Chestnut_sided_Warbler,curved_up_or_down,brown,green,white,striped,green,rounded_tail,green,striped,white,white,brown,about_the_same_as_head,green,white,green,white,pointed-wings,small_(5_-_9_in),perching-like,striped,striped,striped,green,brown,brown,green,striped
166,Golden_winged_Warbler,dagger,white,blue,yellow,striped,blue,forked_tail,blue,unique_pattern,yellow,yellow,brown,about_the_same_as_head,yellow,yellow,blue,yellow,tapered-wings,small_(5_-_9_in),tree-clinging-like,striped,striped,striped,blue,yellow,blue,blue,striped
167,Hooded_Warbler,curved_up,olive,green,yellow,spotted,green,rounded_tail,green,hood,yellow,yellow,black,about_the_same_as_head,yellow,yellow,green,yellow,rounded-wings,small_(5_-_9_in),perching-like,solid,solid,solid,yellow,pink,black,yellow,solid
168,Kentucky_Warbler,curved_down,yellow,olive,yellow,striped,green,rounded_tail,green,eyebrow,yellow,yellow,brown,about_the_same_as_head,yellow,yellow,olive,yellow,rounded-wings,small_(5_-_9_in),upright-perching_water-like,solid,striped,solid,yellow,pink,pink,olive,solid
169,Magnolia_Warbler,curved_up,yellow,green,yellow,solid,green,forked_tail,black,eyebrow,yellow,yellow,black,shorter_than_head,yellow,yellow,green,yellow,pointed-wings,small_(5_-_9_in),perching-like,multi-colored,spotted,spotted,yellow,orange,black,yellow,multi-colored
170,Mourning_Warbler,curved_(up_or_down),yellow,olive,yellow,solid,olive,rounded_tail,olive,plain,yellow,yellow,brown,shorter_than_head,yellow,yellow,olive,yellow,pointed-wings,small_(5_-_9_in),upland-ground-like,solid,solid,solid,yellow,brown,yellow,yellow,solid
171,Myrtle_Warbler,curved_up_or_down,yellow,green,yellow,multi-colored,green,forked_tail,yellow,eyebrow,rufous,yellow,black,about_the_same_as_head,yellow,yellow,green,yellow,rounded-wings,small_(5_-_9_in),perching-like,solid,solid,solid,yellow,yellow,yellow,yellow,solid
172,Nashville_Warbler,curved_up_or_down,brown,green,yellow,multi-colored,green,rounded_tail,green,eyebrow,yellow,yellow,black,about_the_same_as_head,green,yellow,green,yellow,pointed-wings,small_(5_-_9_in),upright-perching_water-like,spotted,solid,solid,green,grey,black,green,multi-colored
173,Orange_crowned_Warbler,all-purpose,yellow,green,yellow,solid,green,rounded_tail,green,plain,yellow,yellow,black,about_the_same_as_head,orange,yellow,green,yellow,pointed-wings,small_(5_-_9_in),perching-like,striped,striped,spotted,green,grey,grey,orange,multi-colored
174,Palm_Warbler,curved_up_or_down,brown,brown,yellow,striped,brown,rounded_tail,brown,eyebrow,yellow,yellow,black,about_the_same_as_head,brown,yellow,brown,yellow,rounded-wings,small_(5_-_9_in),perching-like,spotted,solid,spotted,yellow,black,black,brown,solid
175,Pine_Warbler,curved_up,yellow,olive,yellow,striped,olive,notched_tail,olive,capped,yellow,yellow,black,about_the_same_as_head,yellow,yellow,olive,yellow,pointed-wings,small_(5_-_9_in),perching-like,striped,striped,striped,yellow,black,black,olive,multi-colored
176,Prairie_Warbler,curved_up_or_down,yellow,green,yellow,multi-colored,green,rounded_tail,green,plain,yellow,yellow,black,about_the_same_as_head,yellow,yellow,green,yellow,pointed-wings,small_(5_-_9_in),perching-like,striped,solid,solid,green,pink,black,yellow,spotted
177,Prothonotary_Warbler,curved_up,yellow,blue,yellow,solid,blue,rounded_tail,blue,capped,yellow,yellow,black,about_the_same_as_head,blue,yellow,blue,yellow,rounded-wings,small_(5_-_9_in),perching-like,solid,solid,solid,blue,grey,black,blue,solid
178,Swainson_Warbler,curved_up_or_down,brown,brown,buff,striped,brown,rounded_tail,brown,plain,buff,buff,brown,about_the_same_as_head,buff,buff,brown,buff,rounded-wings,small_(5_-_9_in),upright-perching_water-like,striped,striped,multi-colored,brown,brown,brown,brown,solid
179,Tennessee_Warbler,curved_down,yellow,olive,yellow,multi-colored,olive,forked_tail,olive,eyebrow,yellow,yellow,brown,about_the_same_as_head,yellow,yellow,olive,yellow,pointed-wings,small_(5_-_9_in),upright-perching_water-like,solid,solid,solid,yellow,yellow,yellow,yellow,solid
180,Wilson_Warbler,curved_up_or_down,olive,olive,yellow,solid,olive,rounded_tail,olive,eyebrow,yellow,yellow,black,shorter_than_head,black,olive,black,yellow,pointed-wings,small_(5_-_9_in),upright-perching_water-like,solid,solid,solid,yellow,pink,black,black,solid
181,Worm_eating_Warbler,curved_down,olive,brown,white,striped,brown,forked_tail,brown,eyebrow,white,white,black,about_the_same_as_head,brown,brown,brown,white,rounded-wings,small_(5_-_9_in),upright-perching_water-like,solid,solid,solid,olive,brown,brown,brown,solid
182,Yellow_Warbler,all-purpose,yellow,green,yellow,solid,green,notched_tail,green,plain,yellow,yellow,black,about_the_same_as_head,yellow,yellow,green,yellow,rounded-wings,small_(5_-_9_in),perching-like,solid,solid,solid,yellow,brown,yellow,yellow,solid
183,Northern_Waterthrush,curved_down,olive,brown,buff,striped,brown,rounded_tail,brown,eyebrow,buff,buff,brown,shorter_than_head,brown,buff,brown,buff,long-wings,small_(5_-_9_in),upright-perching_water-like,striped,striped,striped,brown,brown,brown,brown,solid
184,Louisiana_Waterthrush,curved_down,brown,brown,white,striped,brown,rounded_tail,brown,eyebrow,brown,brown,brown,about_the_same_as_head,brown,white,brown,white,rounded-wings,small_(5_-_9_in),upright-perching_water-like,multicolored,multicolored,solid,brown,brown,brown,brown,solid
185,Bohemian_Waxwing,all-purpose,grey,grey,buff,striped,grey,forked_tail,grey,crested,grey,grey,black,about_the_same_as_head,grey,grey,grey,buff,rounded-wings,medium_(9_-_16_in),upright-perching_water-like,solid,solid,solid,grey,grey,black,grey,solid
186,Cedar_Waxwing,all-purpose,brown,brown,brown,solid,brown,rounded_tail,brown,crested,brown,brown,brown,about_the_same_as_head,brown,brown,brown,brown,rounded-wings,medium_(9_-_16_in),perching-like,multi-colored,multi-colored,multi-colored,brown,brown,brown,brown,multi-colored
187,American_Three_toed_Woodpecker,dagger,black,black,black,striped,black,rounded_tail,black,spotted,black,black,yellow,about_the_same_as_head,black,black,black,black,rounded-wings,medium_(9_-_16_in),tree-clinging-like,spotted,spotted,spotted,black,black,black,black,spotted
188,Pileated_Woodpecker,dagger,black,black,white,solid,black,rounded_tail,white,crested,white,white,black,about_the_same_as_head,black,white,black,white,rounded-wings,large_(16_-_32_in),woodpecker-like,solid,solid,solid,black,black,black,black,solid
189,Red_bellied_Woodpecker,dagger,black,black,red,solid,black,rounded_tail,black,striped,red,red,black,about_the_same_as_head,red,white,black,red,rounded-wings,medium_(9_-_16_in),tree-clinging-like,spotted,solid,solid,red,grey,black,red,solid
190,Red_cockaded_Woodpecker,dagger,black,black,white,solid,black,rounded_tail,black,masked,white,white,white,shorter_than_head,white,black,black,white,rounded-wings,medium_(9_-_16_in),tree-clinging-like,striped,striped,solid,black,grey,black,black,solid
191,Red_headed_Woodpecker,dagger,black,black,white,solid,black,rounded_tail,black,unique_pattern,white,white,black,about_the_same_as_head,white,white,black,white,rounded-wings,medium_(9_-_16_in),woodpecker-like,solid,solid,solid,black,white,black,black,solid
192,Downy_Woodpecker,dagger,white,black,white,spotted,black,rounded_tail,white,striped,black,white,black,about_the_same_as_head,white,white,white,white,rounded-wings,small_(5_-_9_in),tree-clinging-like,spotted,spotted,spotted,black,black,black,white,spotted
193,Bewick_Wren,curved_up_or_down,brown,brown,white,striped,brown,rounded_tail,brown,eyebrow,white,white,black,about_the_same_as_head,brown,brown,brown,white,rounded-wings,very_small_(3_-_5_in),perching-like,solid,solid,solid,brown,brown,brown,brown,solid
194,Cactus_Wren,curved_up_or_down,brown,brown,buff,multi-colored,brown,rounded_tail,brown,capped,buff,buff,brown,about_the_same_as_head,brown,buff,brown,buff,rounded-wings,medium_(9_-_16_in),upland-ground-like,multi-colored,multi-colored,multi-colored,brown,brown,brown,brown,multi-colored
195,Carolina_Wren,curved_down,brown,brown,buff,solid,brown,rounded_tail,brown,eyebrow,rufous,white,brown,about_the_same_as_head,rufous,buff,brown,buff,rounded-wings,small_(5_-_9_in),perching-like,solid,solid,solid,rufous,brown,brown,rufous,solid
196,House_Wren,curved_down,brown,brown,white,solid,brown,rounded_tail,brown,plain,brown,white,brown,about_the_same_as_head,brown,brown,brown,white,rounded-wings,small_(5_-_9_in),perching-like,solid,solid,solid,brown,brown,brown,brown,solid
197,Marsh_Wren,curved_(up_or_down),brown,brown,buff,solid,brown,fan-shaped_tail,brown,plain,buff,buff,brown,about_the_same_as_head,brown,brown,brown,buff,rounded-wings,small_(5_-_9_in),chicken-like-marsh,solid,solid,solid,brown,brown,brown,brown,solid
198,Rock_Wren,all-purpose,brown,brown,buff,solid,brown,rounded_tail,brown,plain,buff,buff,brown,about_the_same_as_head,brown,buff,brown,buff,rounded-wings,small_(5_-_9_in),perching-like,solid,solid,solid,brown,brown,brown,brown,solid
199,Winter_Wren,all-purpose,brown,brown,buff,solid,brown,rounded_tail,brown,plain,brown,brown,brown,about_the_same_as_head,brown,brown,brown,brown,rounded-wings,small_(5_-_9_in),upright-perching_water-like,solid,solid,solid,brown,brown,brown,brown,solid
200,Common_Yellowthroat,curved_down,yellow,olive,yellow,solid,olive,rounded_tail,yellow,masked,yellow,yellow,yellow,about_the_same_as_head,yellow,yellow,olive,yellow,rounded-wings,small_(5_-_9_in),upright-perching_water-like,solid,solid,solid,yellow,pink,pink,yellow,solid
